"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
subjid,tier_logic,,text,"Participant Identification Number (PIN):",,,,,,,,,,,,,
ever_pcr_positive,tier_logic,,calc,"Ever PCR positive","if(
  [enrollment_e0_arm_1][pres_initial_status]='2' or
  [enrollment_e0_arm_1][pres_initial_status]='3' or
  [tier_1_week_1_arm_1][test_result]='1' or
  [tier_1_week_2_arm_1][test_result]='1' or
  [tier_1_week_3_arm_1][test_result]='1' or
  [tier_1_week_4_arm_1][test_result]='1' or
  [tier_1_week_5_arm_1][test_result]='1' or
  [tier_1_week_6_arm_1][test_result]='1',
1,0)",,,,,,,,,,,," @HIDDEN"
symptom_now,tier_logic,,calc,symptom_now,"if([sympt_status][1] = '1' or
  [sympt_status][2] = '1' or
  [sympt_status][3] = '1' or
  [sympt_status][4] = '1' or
  [sympt_status][5] = '1' or
  [sympt_status][6] = '1' or
  [sympt_status][7] = '1' or
  [enrollment_e0_arm_1][pres_initial_status]='3',
    1,
    0
)",,,,,,,,,,,," @HIDDEN"
current_tier,tier_logic,,calc,current_tier,"if([event-name]='tier_1_week_1_arm_1' or [event-name]='tier_1_week_2_arm_1' or [event-name]='tier_1_week_3_arm_1' or [event-name]='tier_1_week_4_arm_1' or [event-name]='tier_1_week_5_arm_1' or [event-name]='tier_1_week_6_arm_1',1,if([event-name]='tier_2_week_1_arm_1' or [event-name]='tier_2_week_2_arm_1' or [event-name]='tier_2_week_3_arm_1' or [event-name]='tier_2_week_4_arm_1' or [event-name]='tier_2_week_5_arm_1' or [event-name]='tier_2_week_6_arm_1',2,if([event-name]='tier_3_week_1_arm_1' or [event-name]='tier_3_week_2_arm_1' or [event-name]='tier_3_week_3_arm_1' or [event-name]='tier_3_week_4_arm_1' or [event-name]='tier_3_week_5_arm_1' or [event-name]='tier_3_week_6_arm_1',3,1)))",,,,,,,,,,,," @HIDDEN"
calcnext_tier,tier_logic,"Tier workflow helpers",calc,"Calculated next tier","if([ever_pcr_positive]=0,1,if([symptom_now]=1,3,2))","Hidden helper field used for comparisons and alerts.",,,,,,,,,,," @HIDDEN"
expected_tier,tier_logic,,calc,"Expected Tier",[aggregate-max:calcnext_tier:record-name],,,,,,,,,,,," @HIDDEN"
tier_review_complete,tier_logic,"Tier review",yesno,"Tier review complete?",,"Confirms that workflow review has been completed.",,,,,,,,,,,
tier_mismatch_warning,tier_logic,"Tier alerts",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt; color: #e03e2d;"">Participant appears to be assigned to an incorrect Tier. Please review.</span></p></div>",,"Display-only mismatch warning.",,,,,"[current_tier]<>[expected_tier] and [event-name]<>'enrollment_e0_arm_1'",,,,,,
tier_match_warning,tier_logic,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt; color: #3598db;"">Participant appears to be assigned to the correct Tier</span></p></div>",,"Display-only mismatch warning.",,,,,[current_tier]=[expected_tier],,,,,,
tier_transition_message,tier_logic,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt; color: #e03e2d;"">Participant should transition to Tier [expected_tier].</span></p></div>",,"Display-only alert field.",,,,,"[current_tier]=1 and [expected_tier]=2 or [current_tier]=1 and [expected_tier]=3 or [current_tier]=2 and [expected_tier]=3",,,,,,
pres_enrolmentdate,inclusion_criteria,,text,"Date of Enrolment",,,date_dmy,2000-01-01,,,,y,,,,,
sitename,inclusion_criteria,,text,"Site name",,,,,,,,y,,,,,
coriona_ieorres3,inclusion_criteria,"INCLUSION CRITERIA",radio,"Proven or suspected hantavirus infection","1, Yes | 0, No",,,,,,,y,RH,,,,
noncorona_expphi_v2,inclusion_criteria,,radio,"High suspicion of exposure to hantavirus","1, Yes | 0, No","Includes suspected epidemiological or environmental exposure even without confirmed infection",,,,,,y,RH,,,,
consent_data,consent,CONSENT,radio,"As a research professional I certify that consent has been documented","1, Yes | 0, No",,,,,,,y,RH,,,,
consent_dna,consent,,radio,"Did the participant consent for blood samples to be used for genetic (DNA) research?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
consent_genstudy,consent,,radio,"Did the participant consent to participate in the Host Genetics substudy?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_travel,epidemiological_assessment,"EXPOSURE HISTORY IN PREVIOUS 6 WEEKS",radio,"Did the patient travel outside of their home region in the past 6 Weeks?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_travel_loc,epidemiological_assessment,,notes,"specify all city / cities or town(s) and region(s) of travel",,,,,,,"[expo14_travel] = '1'",,,,,,
expo14_yn,epidemiological_assessment,,radio,"History of exposure or contact with suspected or confirmed human case of same pathogen?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_setting,epidemiological_assessment,,checkbox,"Contact setting","6, MV Hondius | 1, Household | 2, Community/social | 3, Healthcare facility | 4, Occupational/workplace | 5, Sexual contact | 7, Air travel/flight | 88, Other | 99, Unknown",,,,,,[expo14_yn]='1',,,,,,
expo14_setting_oth,epidemiological_assessment,,text,"Specify other contact setting",,,,,,,[expo14_setting(88)]='1',,,,,,
expo14_date,epidemiological_assessment,,text,"Date of first contact with suspected or confirmed case",,,date_dmy,,,,[expo14_yn]='1',,,,,,
expo14_enddate,epidemiological_assessment,,text,"Date of last contact with suspected or confirmed case",,,date_dmy,,,,[expo14_yn]='1',,,,,,
expo14_contin,epidemiological_assessment,,radio,"Exposure continuous or repeated","1, Continuous | 2, Repeated | 3, Both | 99, Unknown",,,,,,[expo14_yn]='1',,,,,,
expo14_sharedcabin,epidemiological_assessment,"EXPOSURE TO CONFIRMED OR SUSPECTED CASE ON BOARD",radio,"Shared cabin with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_sharedbathroom,epidemiological_assessment,,radio,"Shared bathroom facilities with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_sharedmeals,epidemiological_assessment,,radio,"Shared meals with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_socialactivities,epidemiological_assessment,,radio,"Participated in social activities with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_sharedexcursions,epidemiological_assessment,,radio,"Participated in shared shore/off-boat excursions with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_samearea,epidemiological_assessment,,radio,"Worked or spent prolonged time in the same enclosed area as confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_cabinnumber,epidemiological_assessment,,text,"Cabin number (if known)",,,,,,,[expo14_setting(6)]='1',,,,,,
expo14_cabindeck,epidemiological_assessment,,text,"Deck/floor of cabin",,,,,,,[expo14_setting(6)]='1',,,,,,
expo14_ship_endate,epidemiological_assessment,,text,"Date of leaving MV Hondius",,,date_dmy,,,,[expo14_setting(6)]='1',,,,,,
expo14_addi_details,epidemiological_assessment,,notes,"Additional exposure details",,,,,,,[expo14_setting(6)]='1',,,,,,
expo14_house,epidemiological_assessment,"HOUSEHOLD EXPOSURE",radio,"Any unwell household members in the 6 weeks prior to the admission of case?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_house_sys,epidemiological_assessment,,checkbox,"Which system(s) are affected? (tick all that apply)","1, Respiratory | 2, Gastrointestinal | 3, Cardiovascular | 4, Central Nervous system | 5, Peripheral Nervous system | 6, Mucocutaneous | 7, Ocualar | 99, Unknown | 88, Other",,,,,,[expo14_house]='1',,,,,,
expo14_house_sys_oth,epidemiological_assessment,,text,"Specify other system(s) affected",,,,,,,[expo14_house_sys(88)]='1',,,,,,
expo14_housecon,epidemiological_assessment,,radio,"Have household members had any contact with a confirmed case of the same infection?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_rodent,epidemiological_assessment,"HANTAVIRUS-SPECIFIC EXPOSURES",radio,"Exposure to rodent-contaminated environments before boarding the vessel (e.g. exposure in Argentina, shared visit to rubbish dump for birdwatching, contact with areas potentially contaminated by rodents)","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_rodent_detail,epidemiological_assessment,,notes,"If yes, specify details",,,,,,,[expo14_rodent]='1',,,,,,
expo14_rodentship,epidemiological_assessment,,radio,"Rodent sighting or exposure on board the vessel","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_rodentship_detail,epidemiological_assessment,,notes,"If yes, specify details",,,,,,,[expo14_rodentship]='1',,,,,,
expo14_ancon_rodent,epidemiological_assessment,,radio,"Direct contact with rodents","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_ancon_rodent_type,epidemiological_assessment,,checkbox,"Rodents type","1, Rats | 2, Mice",,,,,,[expo14_ancon_rodent]='1',,,,,,
expo14_ancon_rodent_cttype,epidemiological_assessment,,checkbox,"Specify type of contact","1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 99, Unknown | 88, Other",,,,,,[expo14_ancon_rodent]='1',,,,,,
expo14_ancon,epidemiological_assessment,"OTHER ANIMAL EXPOSURES",radio,"Other animal exposures","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_ancon_wildlife,epidemiological_assessment,,radio,"Contact with wildlife","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_ancon]='1',,RH,,,,
expo14_ancon_wildelife_type,epidemiological_assessment,,checkbox,"Wildlife type","1, Bats | 88, Other",,,,,,[expo14_ancon_wildlife]='1',,,,,,
expo14_ancon_wildelife_oth,epidemiological_assessment,,text,"Specify other wildlife type",,,,,,,[expo14_ancon_wildelife_type(88)]='1',,,,,,
expo14_ancon_bite,epidemiological_assessment,,radio,"Any insect or arthropod bites (eg. mosquitoes, ticks)","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_ancon]='1',,RH,,,,
expo14_ancon_other,epidemiological_assessment,,radio,"Other animal contact not listed above","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_ancon]='1',,RH,,,,
expo14_ancon_other_spec,epidemiological_assessment,,text,"Specify animal contacts not listed above",,,,,,,[expo14_ancon_other]='1',,,,,,
expo14_swim,epidemiological_assessment,"WATER / ENVIRONMENTAL EXPOSURES",radio,"Patient swam or bathed in pools, ponds, or rivers","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_floodwater,epidemiological_assessment,,radio,"Exposure to flood water/stagnant water bodies or contaminated water","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
pres_initial_status,presentation,"ONSET & PRESENTATION",radio,"Initial clinical and PCR status at presentation","1, Exposed / asymptomatic / PCR negative | 2, PCR positive / asymptomatic | 3, PCR positive /  Symptomatic disease |99, Unknown",,,,,,,,,,,,
pres_onsetdate,presentation,,text,"Onset date of first / earliest symptom",,,date_dmy,,today,,,,,,,,
pres_consultdate,presentation,,text,"Date of first clinical consultation",,,date_dmy,,today,,,,,,,,
pres_date,presentation,,text,"Most recent presentation/admission date at this facility",,,date_dmy,,today,,,,,,,,
pres_adm,presentation,,radio,"Admitted to hospital","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
pres_adm_reas,presentation,,radio,"Reason for hospitalisation","1, Infection of interest | 88, Other",,,,,,"[pres_adm] = '1'",,RH,,,,
demog_birthknow,presentation,DEMOGRAPHICS,radio,"Is the date of birth known?","1, Yes | 0, No",,,,,,,,RH,,,,
demog_birthdate,presentation,,text,"Date of birth",,,date_dmy,,today,,[demog_birthknow]='1',,,,,,
demog_age,presentation,,text,Age,,,number,0,150,,[demog_birthknow]='0',,,,,,
demog_age_units,presentation,,radio,"Age units","1, Years | 2, Months | 3, Days",,,,,,[demog_birthknow]='0',,RH,,,,
demog_calcage_days,presentation,,calc,"Calculated Age (days)","if([demog_birthknow]='1',datediff([demog_birthdate],[pres_date],""d""),if([demog_age_units]='1',[demog_age]*365,if([demog_age_units]='2',round([demog_age]*365/12,0),if([demog_age_units]='3',[demog_age],''))))",,,,,,,,,,,," @HIDDEN"
demog_sex,presentation,,radio,"Sex at birth","1, Male | 2, Female | 99, Not specified/Unknown | 88, Other",,,,,,,,,,,,
demog_sex_oth,presentation,,text,"Specify other sex at birth",,,,,,,[demog_sex]='88',,,,,,
demog_gender,presentation,,radio,Gender,"1, Male | 2, Female | 3, Non-binary | 99, Unknown | 88, Other",,,,,,,,,,,,
demog_gender_oth,presentation,,text,"Specify other gender",,,,,,,[demog_gender]='88',,,,,,
demog_height,presentation,,text,Height,,,number,0,250,,,,,,,,
demog_height_units,presentation,,radio,"Height (select units)","1, cm | 2, in",,,,,,,,RH,,,,
demog_weight,presentation,,text,Weight,,,number,0,1763,,,,,,,,
demog_weight_units,presentation,,radio,"Weight (select units)","1, kg | 2, lb",,,,,,,,RH,,,,
demog_healthcare,presentation,,radio,"Employed as a healthcare worker","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
demog_healthcare_ptfacing,presentation,,radio,"Patient facing","1, Yes | 0, No | 99, Unknown",,,,,,"[demog_healthcare] = '1'",,RH,,,,
demog_healthcare_expbiosample,presentation,,radio,"Exposed to biological samples","1, Yes | 0, No | 99, Unknown",,,,,,"[demog_healthcare] = '1'",,RH,,,,
demog_occupation,presentation,,radio,"Primary location of occupation","1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 8, Outdoors-animal contact (vet, animal farmer, abattoir worker) | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 99, Unknown | 88, Other",,,,,,,,,,,,
demog_occupation_oth,presentation,,text,"Specify other primary location of occupation",,,,,,,[demog_occupation]='88',,,,,,
demog_residence,presentation,,radio,"Patient's city of residence","1, Same as health care facility | 2, Different from health care facility | 99, Unknown",,,,,,,,,,,,
demog_residence_oth,presentation,,text,"If different from health case facility, specify the patient's region of residence.",,,,,,,[demog_residence]='2',,,,,,
comor_chrcardiac,presentation,"CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing",radio,"Chronic cardiac disease (not hypertension)","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_chrcardiac_mi,presentation,,radio,"Myocardial infarction","1, Yes | 0, No | 99, Unknown",,,,,,[comor_chrcardiac]='1',,RH,,,,
comor_chrcardiac_chf,presentation,,radio,"Congestive heart failure","1, Yes | 0, No | 99, Unknown",,,,,,[comor_chrcardiac]='1',,RH,,,,
comor_hypertensi,presentation,,radio,Hypertension,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_chrpulmona,presentation,,radio,"Chronic pulmonary disease (not asthma)","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_asthma,presentation,,radio,Asthma,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_liverdisease,presentation,,radio,"Liver disease","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_liverdisease_type,presentation,,radio,"Type of liver disease","1, Mild | 2, Moderate or severe | 99, Unknown",,,,,,[comor_liverdisease]='1',,,,,,
comor_chrkidney,presentation,,radio,"Chronic kidney disease","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_chrkidney_type,presentation,,radio,"Stage of chronic kidney disease","1, Stage 1 | 2, Stage 2 | 3, Stage 3a | 4, Stage 3b | 5, Stage 4 | 6, Stage 5 | 99, Unknown",,,,,,[comor_chrkidney]='1',,,,,,
comor_aids,presentation,,radio,HIV,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_aids_art,presentation,,radio,"Is the patient on anti-retroviral therapy (ART)?","1, Yes | 0, No | 99, Unknown",,,,,,"[comor_aids] = '1'",,RH,,,,
comor_aids_arttype,presentation,,text,"Specify ART",,,,,,,"[comor_aids_art] = '1'",,,,,,
comor_aids_cd4date,presentation,,text,"If HIV positive: CD4 count date",,,date_dmy,,today,,"[comor_aids] = '1'",,,,,,
comor_aids_cd4count,presentation,,text,"If HIV positive: Most recent CD4 count (cells/ÂµL)",,,number,1,10000,,"[comor_aids] = '1'",,,,,,
comor_aids_vrl,presentation,,radio,"If HIV positive: Is HIV viral load detectable","1, Yes | 0, No | 99, Unknown",,,,,,"[comor_aids] = '1'",,RH,,,,
comor_aids_vrlno,presentation,,text,"Most recent HIV viral load (copies/mL)",,,number,1,5000000,,"[comor_aids_vrl] = '1'",,,,,,
comor_aids_vrlnodate,presentation,,text,"HIV viral load date",,,date_dmy,,,,"[comor_aids] = '1'",,,,,,
comor_tuberculos,presentation,,radio,Tuberculosis,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_hepbc,presentation,,radio,"Chronic hepatitis B/C infection","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_chrhematol,presentation,,radio,"Chronic haematologic disease","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_rheumatolo,presentation,,radio,"Rheumatologic disorder","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_malignantn,presentation,,radio,"Malignant neoplasm","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_obesity,presentation,,radio,Obesity,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_malnutriti,presentation,,radio,Malnutrition,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_diabetes,presentation,,radio,"Diabetes mellitus","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_diabetes_type,presentation,,radio,"Diabetes mellitus type","1, Type 1| 2, Type 2 | 3, Gestational diabetes | 99, Unknown",,,,,,"[comor_diabetes] = '1'",,,,,,
comor_diabetes_endorg,presentation,,radio,"End organ damage from diabetes","1, Yes | 0, No | 99, Unknown",,,,,,"[comor_diabetes] = '1'",,RH,,,,
comor_smoking,presentation,,radio,"Ever smoked","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_smoking_type,presentation,,radio,"Smoking status","1, Current smoker | 2, Former Smoker",,,,,,[comor_smoking]='1',,RH,,,,
comor_orgtrans,presentation,,radio,"Transplant recipient","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_orgtrans_organ,presentation,,checkbox,"Specify transplanted organ(s)","1, Lung | 2, Heart | 3, Kidney | 4, Liver | 5, Bone | 6, Hematopoietic stem cell | 88, Other",,,,,,[comor_orgtrans]='1',,,,,,
comor_orgtrans_organ_oth,presentation,,text,"Specify other transplanted organ(s)",,,,,,,[comor_orgtrans_organ(88)]='1',,,,,,
comor_primaryimmuno,presentation,,radio,"Primary immunodeficiency","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_chemotherapy,presentation,,radio,Chemotherapy,"1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_radiotherapy,presentation,,radio,"Radiation therapy","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_steroidtherapy,presentation,,radio,"Long term or high-dose corticosteroid therapy","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_unlisted,presentation,,radio,"Other relevant comorbidity(s)","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
comor_unlisted_0item,presentation,,dropdown," Select other relevant comorbidity(s)","1, Acute-on-chronic renal failure | 58, Alzheimer's disease | 2, Asplenia | 3, Atrial Fibrillation | 4, Autoimmune Disease | 5, Blood coagulation disorder | 6, Cardiomyopathy | 7, Cerebrovascular Disease | 8, Chronic Haematological Disease | 9, Chronic Infection | 10, Chronic Kidney Disease | 11, Chronic Viral Hepatitis | 12, Chronic heart disease | 13, Chronic inflammatory disorder | 14, Chronic lung disease | 15, Chronic metabolic disorder | 16, Congenital Heart Disease | 17, Congestive Heart Failure | 18, Dementia | 19, Diabetes Mellitus (all types) | 20, Disease of liver | 21, Disorder of lipid metabolism | 22, Disorder of pulmonary circulation | 23, Essential hypertension | 24, Heart valve disorder | 25, Hemiplegia | 26, Human immunodeficiency virus [HIV] disease | 27, Hyperthyroidism | 28, Hypothyroidism | 29, Immunosuppression | 30, Ischaemic Heart Disease | 31, Leukemia | 32, Malignant lymphoma | 33, Metastatic carcinoid tumor Cancer | 34, Moderate or Severe Liver Disease | 35, Moderate or Severe Renal Disease | 36, Multiple Myeloma | 57, Multiple sclerosis | 37, Myocardial Infarction | 38, Neurodegenerative Disorders | 39, Neurological disorder confirmed | 40, Obesity | 55, Osteoarthritis | 41, Paraplegia | 42, Peripheral Vascular Disease | 43, Primary malignant neoplasm | 44, Psychoactive substance use disorder | 45, Rare Diseases and Inborn Errors of Metabolism | 46, Reactive psychoses | 47, Recurrent deep vein thrombosis | 48, Rheumatoid Disorders | 56, Rheumatoid arthritis | 49, Smoking | 50, Solid tumor configuration | 51, Stroke | 52, Transplant present | 53, Tuberculosis | 54, Undifferentiated connective tissue disease | 88, Other",,,,,,[comor_unlisted]='1',,,,,,
comor_unlisted_0otherl2,presentation,,text," Specify other relevant comorbidity(s)",,,,,,,[comor_unlisted_0item]='88',,,,,,
comor_unlisted_0addi,presentation,,radio," Any additional other relevant comorbidity(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[comor_unlisted]='1',,RH,,,,
comor_unlisted_1item,presentation,,dropdown,"> Select additional other relevant comorbidity(s) 2","1, Acute-on-chronic renal failure | 58, Alzheimer's disease | 2, Asplenia | 3, Atrial Fibrillation | 4, Autoimmune Disease | 5, Blood coagulation disorder | 6, Cardiomyopathy | 7, Cerebrovascular Disease | 8, Chronic Haematological Disease | 9, Chronic Infection | 10, Chronic Kidney Disease | 11, Chronic Viral Hepatitis | 12, Chronic heart disease | 13, Chronic inflammatory disorder | 14, Chronic lung disease | 15, Chronic metabolic disorder | 16, Congenital Heart Disease | 17, Congestive Heart Failure | 18, Dementia | 19, Diabetes Mellitus (all types) | 20, Disease of liver | 21, Disorder of lipid metabolism | 22, Disorder of pulmonary circulation | 23, Essential hypertension | 24, Heart valve disorder | 25, Hemiplegia | 26, Human immunodeficiency virus [HIV] disease | 27, Hyperthyroidism | 28, Hypothyroidism | 29, Immunosuppression | 30, Ischaemic Heart Disease | 31, Leukemia | 32, Malignant lymphoma | 33, Metastatic carcinoid tumor Cancer | 34, Moderate or Severe Liver Disease | 35, Moderate or Severe Renal Disease | 36, Multiple Myeloma | 57, Multiple sclerosis | 37, Myocardial Infarction | 38, Neurodegenerative Disorders | 39, Neurological disorder confirmed | 40, Obesity | 55, Osteoarthritis | 41, Paraplegia | 42, Peripheral Vascular Disease | 43, Primary malignant neoplasm | 44, Psychoactive substance use disorder | 45, Rare Diseases and Inborn Errors of Metabolism | 46, Reactive psychoses | 47, Recurrent deep vein thrombosis | 48, Rheumatoid Disorders | 56, Rheumatoid arthritis | 49, Smoking | 50, Solid tumor configuration | 51, Stroke | 52, Transplant present | 53, Tuberculosis | 54, Undifferentiated connective tissue disease | 88, Other",,,,,,[comor_unlisted_0addi]='1',,,,,,
comor_unlisted_1otherl2,presentation,,text,"> Specify other relevant comorbidity(s) 2",,,,,,,[comor_unlisted_1item]='88',,,,,,
comor_unlisted_1addi,presentation,,radio,"> Any additional other relevant comorbidity(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[comor_unlisted_0addi]='1',,RH,,,,
comor_unlisted_2item,presentation,,dropdown,"-> Select additional other relevant comorbidity(s) 3","1, Acute-on-chronic renal failure | 58, Alzheimer's disease | 2, Asplenia | 3, Atrial Fibrillation | 4, Autoimmune Disease | 5, Blood coagulation disorder | 6, Cardiomyopathy | 7, Cerebrovascular Disease | 8, Chronic Haematological Disease | 9, Chronic Infection | 10, Chronic Kidney Disease | 11, Chronic Viral Hepatitis | 12, Chronic heart disease | 13, Chronic inflammatory disorder | 14, Chronic lung disease | 15, Chronic metabolic disorder | 16, Congenital Heart Disease | 17, Congestive Heart Failure | 18, Dementia | 19, Diabetes Mellitus (all types) | 20, Disease of liver | 21, Disorder of lipid metabolism | 22, Disorder of pulmonary circulation | 23, Essential hypertension | 24, Heart valve disorder | 25, Hemiplegia | 26, Human immunodeficiency virus [HIV] disease | 27, Hyperthyroidism | 28, Hypothyroidism | 29, Immunosuppression | 30, Ischaemic Heart Disease | 31, Leukemia | 32, Malignant lymphoma | 33, Metastatic carcinoid tumor Cancer | 34, Moderate or Severe Liver Disease | 35, Moderate or Severe Renal Disease | 36, Multiple Myeloma | 57, Multiple sclerosis | 37, Myocardial Infarction | 38, Neurodegenerative Disorders | 39, Neurological disorder confirmed | 40, Obesity | 55, Osteoarthritis | 41, Paraplegia | 42, Peripheral Vascular Disease | 43, Primary malignant neoplasm | 44, Psychoactive substance use disorder | 45, Rare Diseases and Inborn Errors of Metabolism | 46, Reactive psychoses | 47, Recurrent deep vein thrombosis | 48, Rheumatoid Disorders | 56, Rheumatoid arthritis | 49, Smoking | 50, Solid tumor configuration | 51, Stroke | 52, Transplant present | 53, Tuberculosis | 54, Undifferentiated connective tissue disease | 88, Other",,,,,,[comor_unlisted_1addi]='1',,,,,,
comor_unlisted_2otherl2,presentation,,text,"-> Specify other relevant comorbidity(s) 3",,,,,,,[comor_unlisted_2item]='88',,,,,,
comor_unlisted_2addi,presentation,,radio,"-> Any additional other relevant comorbidity(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[comor_unlisted_1addi]='1',,RH,,,,
comor_unlisted_3item,presentation,,dropdown,">-> Select additional other relevant comorbidity(s) 4","1, Acute-on-chronic renal failure | 58, Alzheimer's disease | 2, Asplenia | 3, Atrial Fibrillation | 4, Autoimmune Disease | 5, Blood coagulation disorder | 6, Cardiomyopathy | 7, Cerebrovascular Disease | 8, Chronic Haematological Disease | 9, Chronic Infection | 10, Chronic Kidney Disease | 11, Chronic Viral Hepatitis | 12, Chronic heart disease | 13, Chronic inflammatory disorder | 14, Chronic lung disease | 15, Chronic metabolic disorder | 16, Congenital Heart Disease | 17, Congestive Heart Failure | 18, Dementia | 19, Diabetes Mellitus (all types) | 20, Disease of liver | 21, Disorder of lipid metabolism | 22, Disorder of pulmonary circulation | 23, Essential hypertension | 24, Heart valve disorder | 25, Hemiplegia | 26, Human immunodeficiency virus [HIV] disease | 27, Hyperthyroidism | 28, Hypothyroidism | 29, Immunosuppression | 30, Ischaemic Heart Disease | 31, Leukemia | 32, Malignant lymphoma | 33, Metastatic carcinoid tumor Cancer | 34, Moderate or Severe Liver Disease | 35, Moderate or Severe Renal Disease | 36, Multiple Myeloma | 57, Multiple sclerosis | 37, Myocardial Infarction | 38, Neurodegenerative Disorders | 39, Neurological disorder confirmed | 40, Obesity | 55, Osteoarthritis | 41, Paraplegia | 42, Peripheral Vascular Disease | 43, Primary malignant neoplasm | 44, Psychoactive substance use disorder | 45, Rare Diseases and Inborn Errors of Metabolism | 46, Reactive psychoses | 47, Recurrent deep vein thrombosis | 48, Rheumatoid Disorders | 56, Rheumatoid arthritis | 49, Smoking | 50, Solid tumor configuration | 51, Stroke | 52, Transplant present | 53, Tuberculosis | 54, Undifferentiated connective tissue disease | 88, Other",,,,,,[comor_unlisted_2addi]='1',,,,,,
comor_unlisted_3otherl2,presentation,,text,">-> Specify other relevant comorbidity(s) 4",,,,,,,[comor_unlisted_3item]='88',,,,,,
